stkcd,year,管理层持股比例,董事会规模,独立董事占比,监事会规模,高管人数,管理层男性占比,管理层平均年龄,处置固定资产无形资产和其他长期资产收回的现金净额,员工人数,董事长持股比例,总经理持股比例,董事长与总经理兼任情况,财务杠杆,经营杠杆,综合杠杆,市盈率PETTM,市盈率母公司PETTM,审计日期,审计意见类型,审计师,境内审计事务所,审计师是否来自国际四大,境内审计费用金额,审计费用合计,董事人数,其中独立董事人数,监管层持股数量,股权性质,上市日期,公司成立日期
605599,2024,0.00691101422309309,0.3571428571428571,0.400486614999641,2.0,0.20833333333333334,0.5152,0.031347470182610776,0.0,-0.048890749267475934,0.0015301318267419983,0.001748486886348355,1.0,0.40668331906405303,-1.066455282524338,-0.7478397219548046,-0.8538515801366356,-0.8203356022984244,2025-03-31,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.4090909090909091,1.0203168072979945,0.42416880994476946,地方国有企业,2021-09-09,1994-12-09
688001,2024,0.2978157854809894,0.2142857142857143,0.40051608763661367,0.0,0.41666666666666663,0.8181333333333333,0.05891271511832684,6.561153536612084,0.28028463792381747,0.25588512241054645,0.29240080699394794,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-31,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.18181818181818182,0.9316940995588037,1.4744872993014462,民营企业,2019-07-22,2005-06-15
688002,2024,0.31803485381134905,0.2142857142857143,0.40051608763661367,0.0,0.24999999999999997,0.7646666666666654,-0.7466049980031239,0.011600199081490476,0.5300962745918795,0.1820856873822978,0.20806993947545424,0.0,0.9168556978560776,0.34894380552340526,0.533687739698948,0.509421732284906,0.043901356551651255,2025-04-10,标准无保留意见,"申旭,夏江梅,孟祥瑞",天职国际会计师事务所(特殊普通合伙),0.0,2.0771627515547517,2.099468262840694,0.18181818181818182,0.9316940995588037,1.6132726594013165,民营企业,2019-07-22,2009-12-11
688003,2024,0.09969573189593019,0.2142857142857143,0.40051608763661367,0.0,0.20833333333333334,0.7646666666666654,-0.7098513380888379,0.16712438780700445,0.16408539137714526,0.09934086629001895,0.1135171486213855,0.0,0.4192873597712208,0.40134017227887187,0.41075459518379587,1.2230018862267802,1.0559921545940387,2025-04-11,标准无保留意见,"徐殷鹏,付敏",中汇会计师事务所(特殊普通合伙),0.0,2.0760641020758692,2.098513507742788,0.27272727272727276,1.0841958752168617,-0.022097743913803064,民营企业,2019-07-22,2009-08-20
688004,2024,0.32821789689227826,0.2142857142857143,0.40051608763661367,0.0,0.41666666666666663,0.7999999999999999,0.503019439082623,0.0,-0.4246128087065718,0.2072740112994353,0.09065232010759933,1.0,0.0,0.0,0.0,0.0,0.0,2025-04-16,标准无保留意见,"权计伟,王彪",立信会计师事务所(特殊普通合伙),0.0,2.0760329435025913,2.098490087827836,0.18181818181818182,0.9316940995588037,0.06792041813207443,民营企业,2020-06-12,1993-03-22
688005,2024,0.0040812150024052115,0.3571428571428571,0.400486614999641,0.0,0.4583333333333333,0.6542666666666653,0.06810113009689668,-0.1538262698309698,0.9788195897865215,0.0025894538606403045,0.002958977807666447,0.0,2.3780770894198433,1.6804776676752389,2.285683397476418,0.43437998595755506,0.5189732287387334,2025-04-08,标准无保留意见,"何林飞,高勇",天健会计师事务所(特殊普通合伙),0.0,2.07714261121216,2.0996082855761418,0.4090909090909091,1.0841958752168617,-0.24924393334831085,民营企业,2019-07-22,2014-09-18
688006,2024,0.04569314202981051,0.2142857142857143,0.40051608763661367,0.0,0.125,0.6666666666666666,0.558149928954053,-0.164140029783997,0.771871075763918,0.0,0.010490921318090131,1.0,-2.240897817241411,-0.03162644219835552,-0.7222366913336477,-0.06773215736023944,-0.11144396436462675,2025-04-08,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.13636363636363635,0.7978672281743067,0.08484323330318806,民营企业,2019-07-22,2011-11-21
688007,2024,0.003918907316430595,0.2142857142857143,0.40051608763661367,0.0,0.24999999999999997,0.5556000000000001,-1.2458422118388521,0.11867635019369402,-0.036500627877773126,0.0,0.0,0.0,-12.18951958127753,0.0,38.43305807275903,0.0,7.058312705892928,2025-04-08,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.27272727272727276,0.9316940995588037,-0.24692182287390504,民营企业,2019-07-22,2006-10-24
688008,2024,0.006157106783167516,0.2142857142857143,0.40051608763661367,0.0,0.24999999999999997,0.492,1.7587694861540852,0.0,-0.277940560904144,0.002236346516007536,0.00255548083389375,0.0,-1.5449041016090463,-0.8985767981629643,-1.053387447313697,0.871515883443356,0.6404796706336316,2025-04-10,标准无保留意见,"施瑾,王丽红",安永华明会计师事务所(特殊普通合伙),-1.0,2.077765879741929,2.1001208801266373,0.4090909090909091,1.132872288587488,-0.18302293004316952,公众企业,2019-07-22,2004-05-27
688009,2024,0.04808894461191409,0.0714285714285714,0.4005352588715742,0.0,0.5416666666666666,0.8333333333333334,1.1462084875826406,28.896747412356973,5.844788614483047,0.007944915254237298,0.001075991930060526,1.0,-0.4832519837241949,-0.800796510729079,-0.7458222860550779,-0.6984362933583135,-0.5918461780045133,2025-03-28,标准无保留意见,"郭健,王晓燕",立信会计师事务所(特殊普通合伙),0.0,2.0784162243307653,2.100668583914279,0.13636363636363635,0.7978672281743067,0.0,中央国有企业,2019-07-22,2010-12-29
688010,2024,0.0,0.3571428571428571,0.400486614999641,0.0,0.625,0.6666666666666666,-1.51230624621743,0.7433772779565953,0.08940979489326077,0.0,0.0,0.0,106.8128370565858,17.99712888443731,208.58918777655424,20.254406681272926,15.218446845398402,2025-03-28,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.27272727272727276,0.7978672281743067,-0.27495863740717463,民营企业,2019-07-22,2004-02-03
688011,2024,0.6039210243732042,0.2142857142857143,0.40051608763661367,0.0,0.3333333333333333,0.7500000000000001,1.088015192718354,0.0,-0.3817496860611134,0.5271892655367239,0.602420981842637,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-25,标准无保留意见,"刘宇,王民",信永中和会计师事务所(特殊普通合伙),0.0,2.075968035512096,2.0983651266987264,0.13636363636363635,0.7978672281743067,0.5127970747299212,民营企业,2019-07-22,2007-11-30
688012,2024,0.00915274211778598,0.5,0.4004989573076194,0.0,0.3333333333333333,0.8709333333333319,0.8491164032754901,0.41872313763185337,0.31209711176224364,0.008239171374764605,0.009414929388029602,0.0,-0.4904719454177966,-0.7884310159272305,-0.7387174807961641,1.4345775752439733,1.2484859644411996,2025-04-17,标准无保留意见,"张炜彬,胡玉琢",普华永道中天会计师事务所(特殊普通合伙),-1.0,2.07811878503496,2.1004151553182626,0.45454545454545453,1.0841958752168617,-0.18195217569294042,公众企业,2019-07-22,2004-05-31
688013,2024,0.6126750541319655,0.2142857142857143,0.40051608763661367,0.0,0.125,0.3846666666666667,1.3575420320897882,0.0,-0.43331938049393054,0.3042608286252358,0.3468728984532621,1.0,-0.3919609521876142,-0.7110720602253802,-0.6601089576208913,-0.2748374417357591,-0.29921031614884325,2025-04-25,标准无保留意见,"娄新洁,韩鹏卓",公证天业会计师事务所(特殊普通合伙),0.0,2.0760329435025913,2.0983651266987264,0.13636363636363635,0.7978672281743067,0.3756879881287625,民营企业,2020-09-28,2003-08-18
688015,2024,0.12683757587590283,0.5,0.4004989573076194,0.0,0.5416666666666666,0.6444,-1.9992922400817295,4.61970396555524,0.07601506906655504,0.11299435028248601,0.000537995965030263,1.0,0.05126349329637867,0.825384243007401,0.6083918364429513,-0.3023571992285005,0.28915422393766493,2025-04-25,标准无保留意见,"肖常和,韩瑞瑜",立信会计师事务所(特殊普通合伙),0.0,2.0758635612084433,2.098490087827836,0.45454545454545453,1.0841958752168617,0.03720830711702927,公众企业,2019-07-22,2009-12-04
688016,2024,0.0,0.2142857142857143,0.40051608763661367,0.0,0.3333333333333333,0.5333333333333333,-0.890556832667413,-0.17498430296261183,-0.2417748011720385,0.0,0.0,1.0,-0.2674828106657735,-0.9720988451668867,-0.8205871381760435,-0.2771016633647081,-0.3187395926448123,2025-03-27,标准无保留意见,"张昕,陈晓栋",立信会计师事务所(特殊普通合伙),0.0,2.0766284388730063,2.0991638385394857,0.2272727272727273,1.0203168072979945,-0.27495863740717463,公众企业,2019-07-22,2012-08-17
688017,2024,0.4928037711837993,0.3571428571428571,0.400486614999641,0.0,0.24999999999999997,0.9298666666666654,0.04972430013975482,-0.07796696462033645,-0.24277940560904143,0.2402306967984937,0.0,1.0,-0.08310017034873,1.0491951624388847,0.7253530847872554,10.995075973292481,9.846950406174157,2025-03-27,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.3181818181818182,1.0203168072979945,0.809879951061399,民营企业,2020-08-28,2011-01-13
688018,2024,0.47899232802148106,0.2142857142857143,0.40051608763661367,0.0,0.41666666666666663,0.48719999999999997,-2.0819879748888734,-0.17946812757761305,-0.2605274173294265,0.4722222222222228,0.5396099529253539,0.0,-0.24901806755695252,-0.9138289280710947,-0.7739734686629575,1.405358804112995,1.221802228143439,2025-03-21,标准无保留意见,"马罡,张五一",天职国际会计师事务所(特殊普通合伙),0.0,2.0765132163304867,2.0988825026118763,0.3181818181818182,1.0841958752168617,0.4260684577068754,外资企业,2019-07-22,2008-04-29
688019,2024,0.0037130823523323494,0.2857142857142857,0.40050273065845815,0.0,0.3333333333333333,0.6862666666666667,1.0390103128326373,0.0,-0.31544579321892,0.0003531073446327688,0.0009414929388029604,1.0,-0.48995119023451694,-0.5964494865717156,-0.6022037226070314,-0.0411595479017773,-0.08735263347248287,2025-04-14,标准无保留意见,"徐海峰,厉安",毕马威华振会计师事务所(特殊普通合伙),-1.0,2.0773118460013795,2.0996763080622305,0.18181818181818182,0.7978672281743067,-0.26870050672206186,公众企业,2019-07-22,2006-02-07
