stkcd,year,实收资本或股本,管理层持股比例,董事会规模,独立董事占比,监事会规模,高管人数,管理层男性占比,管理层平均年龄,机构投资者持股比例,经营活动产生的现金流量净额,购建固定资产无形资产和其他长期资产支付的现金,员工人数,无形资产比率,有形资产比率,营业外收入占比,权益乘数2,总资产净利润率ROAB,净资产收益率ROEB,审计意见类型,审计师,境内审计事务所,审计师是否来自国际四大,审计师是否来自国内十大,境内审计费用金额,审计费用合计,总资产周转率B,董事人数,其中独立董事人数,监管层持股数量,月均超额换手率,上市日期,公司成立日期
1,2000,0.01945822149,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.001591065227,3.593757927852111,0.0454,0.00609115731989078,0.9973088344469261,0.4343357629676388,0.5653439788611122,0.1090149863034089,0.4197216354900659,标准无保留意见,"张克理,梁烽",深圳鹏城会计师事务所,1.0,1.0,0.008,0.016,-0.8865401679934892,2.4849066497880004,-1.2579336245387982,0.94088,0.33401189758907435,1991-04-03,1987-12-22
1,2001,0.01945822149,1.0,0.38439206018943173,0.4822232223222322,0.0,2.0794415416798357,0.06868829184607086,0.11845170393228271,0.0028105698919779192,0.014642136825,3.594461317252359,0.05089,0.06238185255198489,0.9724387527839582,0.5088522197125864,0.5667388511965914,-1.1947426972588868,-0.6570294125861891,标准无保留意见,"侯立勋,陈爱容",深圳鹏城会计师事务所,1.0,1.0,0.0086,0.0174,-1.437250071561874,2.70805020110221,-0.2419103124113074,0.94088,0.3072880921793525,1991-04-03,1987-12-22
1,2002,0.01945822149,0.7727272727272728,0.38439206018943173,0.4822232223222322,0.0,2.1972245773362196,0.06868829184607086,0.1184517039322827,0.024027366277255015,0.008544036326,3.5938726776867957,0.05834,0.06616257088846882,0.9707683741648196,0.36107193229901263,0.5676618318276304,-1.5494474791001622,-0.580105731488918,标准无保留意见,"侯立勋,陈爱容",深圳鹏城会计师事务所,1.0,1.0,0.014,0.03125,-1.6703771840981725,2.772588722239781,-0.2419103124113074,0.726973,0.5694296083450577,1991-04-03,1987-12-22
1,2003,0.01945822149,0.7995867768595042,0.38439206018943173,0.4822232223222322,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228276,0.34049983881119467,-0.001668811824,3.593102508304505,0.06471,0.09493803822726318,0.9580549368968008,0.15153816564253797,0.567886264756931,-1.891095643204949,-1.244371137191397,标准无保留意见,"侯立勋,陈爱容",深圳鹏城会计师事务所,1.0,1.0,0.014,0.039,-2.418518336089168,2.70805020110221,-0.2419103124113074,0.752783,0.44548974263049135,1991-04-03,1987-12-22
1,2004,0.01945822149,0.1528925619834711,-0.09609801504735752,0.8654365436543654,0.0,1.6094379124341003,0.06868829184607086,0.11845170393228265,0.35579742404937037,0.007045617953,3.5901750560456285,0.06999,0.0676328502415459,0.9701187824795738,0.41107834337735605,0.5678409755687027,-1.9743315812750644,-1.5376990736514746,带有解释性说明的无保留意见,"杨克晶,陈爱容",深圳鹏城会计师事务所,1.0,1.0,0.015,0.045,-1.4799379090586546,2.6390573296152584,0.43543856234035316,0.143164,0.41008981958278484,1991-04-03,1987-12-22
1,2005,0.01945822149,0.08677685950413223,0.38439206018943173,0.6428892889288929,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228263,0.37727519278692945,-0.004285584486,3.5952158988013228,0.07142,0.03801722327242177,0.9832034149962823,0.0,0.5678569041786148,-1.9294494578058845,-1.391197543978422,标准无保留意见,"龙英,杨克晶",深圳市鹏城会计师事务所有限公司,1.0,1.0,0.0225,0.0865,-1.7579608506863953,2.70805020110221,0.0967641249645229,0.080997,0.45978140094330144,1991-04-03,1987-12-22
1,2006,0.01945822149,0.1384297520661157,-0.09609801504735752,0.6923942394239424,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228262,0.4936010602641457,0.007410385467,3.5902523642222355,0.07737,0.02142407057340895,0.9905345211581249,1.0,0.5677805000166247,-0.9028728882744631,1.3897144541692406,标准无保留意见,"龙英,侯立勋",深圳市鹏城会计师事务所有限公司,1.0,1.0,0.0298,0.0771,-0.45193382244436686,2.6390573296152584,0.0967641249645229,0.130997,0.7745888310002296,1991-04-03,1987-12-22
1,2007,0.02293407,0.061983471074380174,0.38439206018943173,0.6428892889288929,0.0,2.0794415416798357,0.06868829184607086,0.11845170393228255,0.7896268607072874,0.017051576,3.592022796441624,0.08573,0.040327662255828615,0.9821826280623611,0.6884511821042145,0.5672454297808585,-0.02019112671392726,2.189814590969341,标准无保留意见,"张小东,许旭明",安永华明会计师事务所,0.0,0.0,0.042,0.047,0.5495743650339878,2.70805020110221,0.0967641249645229,0.068592,0.6682129913003734,1991-04-03,1987-12-22
1,2008,0.03105434,0.008264462809917356,0.38439206018943173,0.6428892889288929,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228262,0.726625064603451,0.024342611,3.5950803863021474,0.10381,0.050409577819785764,0.9777282850779443,0.4235355617584108,0.5669705192474791,-1.9667152209287793,-1.9360164641103381,标准无保留意见,"张小东,许旭明",安永华明会计师事务所,0.0,0.0,0.0504,0.0564,0.40991889667167397,2.70805020110221,0.0967641249645229,0.010974,0.22667077091708643,1991-04-03,1987-12-22
1,2009,0.03105434,0.008264462809917356,0.864882135426221,0.75,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228269,0.8201964456589051,0.032193611,3.5956121770538663,0.11308,0.05608065532451166,0.9752227171492223,0.60818448124513,0.5670374754316886,0.20585156784903283,2.235513971668142,标准无保留意见,"张小东,许旭明",安永华明会计师事务所,0.0,0.0,0.0493,0.0553,-0.6738369777078057,2.772588722239781,0.43543856234035316,0.010974,0.5420911233976824,1991-04-03,1987-12-22
